Date,Open,High,Low,Close,Volume
2-Jun-16,0.02,0.02,0.02,0.02,7596269
1-Jun-16,0.02,0.02,0.02,0.02,7042135
31-May-16,0.02,0.02,0.02,0.02,3286392
27-May-16,0.02,0.02,0.02,0.02,5174258
26-May-16,0.02,0.02,0.02,0.02,2780051
25-May-16,0.02,0.02,0.02,0.02,3202914
24-May-16,0.02,0.02,0.02,0.02,4201772
23-May-16,0.02,0.02,0.02,0.02,6843759
20-May-16,0.02,0.02,0.02,0.02,3966975
19-May-16,0.02,0.02,0.02,0.02,5855403
18-May-16,0.02,0.02,0.02,0.02,3080646
17-May-16,0.02,0.02,0.02,0.02,5107752
16-May-16,0.02,0.02,0.02,0.02,3856850
13-May-16,0.02,0.02,0.02,0.02,4405057
12-May-16,0.02,0.02,0.02,0.02,3476971
11-May-16,0.02,0.02,0.02,0.02,4988058
10-May-16,0.02,0.02,0.02,0.02,9007466
9-May-16,0.02,0.02,0.02,0.02,12535111
6-May-16,0.02,0.02,0.02,0.02,15105343
5-May-16,0.02,0.02,0.02,0.02,25093228
4-May-16,0.01,0.02,0.01,0.02,32117286
3-May-16,0.02,0.02,0.01,0.01,16928475
2-May-16,0.02,0.02,0.02,0.02,8180437
29-Apr-16,0.02,0.02,0.02,0.02,8860255
28-Apr-16,0.02,0.02,0.02,0.02,12739037
27-Apr-16,0.02,0.02,0.02,0.02,19725103
26-Apr-16,0.02,0.02,0.02,0.02,7660892
25-Apr-16,0.02,0.02,0.02,0.02,9454500
22-Apr-16,0.02,0.02,0.02,0.02,19433835
21-Apr-16,0.02,0.02,0.02,0.02,17434766
20-Apr-16,0.02,0.02,0.02,0.02,11271244
19-Apr-16,0.02,0.02,0.02,0.02,20011670
18-Apr-16,0.02,0.02,0.02,0.02,34212990
15-Apr-16,0.02,0.02,0.02,0.02,7121922
14-Apr-16,0.02,0.02,0.02,0.02,9213850
13-Apr-16,0.02,0.02,0.02,0.02,22829369
12-Apr-16,0.02,0.02,0.02,0.02,12472620
11-Apr-16,0.02,0.02,0.02,0.02,21210384
8-Apr-16,0.02,0.02,0.02,0.02,12239074
7-Apr-16,0.02,0.02,0.02,0.02,12762373
6-Apr-16,0.02,0.02,0.02,0.02,16611995
5-Apr-16,0.02,0.02,0.02,0.02,17701067
4-Apr-16,0.02,0.02,0.02,0.02,16302412
1-Apr-16,0.02,0.02,0.02,0.02,30661300
31-Mar-16,0.02,0.02,0.02,0.02,27506795
30-Mar-16,0.02,0.02,0.02,0.02,48822671
29-Mar-16,0.02,0.02,0.02,0.02,58097026
28-Mar-16,0.02,0.02,0.02,0.02,82200304
24-Mar-16,0.02,0.02,0.02,0.02,50999271
23-Mar-16,0.02,0.02,0.01,0.02,10529545
22-Mar-16,0.02,0.02,0.02,0.02,24139761
21-Mar-16,0.01,0.02,0.01,0.02,56757718
18-Mar-16,0.01,0.01,0.01,0.01,22838229
17-Mar-16,0.01,0.01,0.01,0.01,15985260
16-Mar-16,0.01,0.01,0.01,0.01,18864375
15-Mar-16,0.02,0.02,0.01,0.01,56308046
14-Mar-16,0.01,0.02,0.01,0.02,97409825
11-Mar-16,0.01,0.01,0.01,0.01,8020201
10-Mar-16,0.01,0.01,0.01,0.01,9921560
9-Mar-16,0.01,0.01,0.01,0.01,8740750
8-Mar-16,0.01,0.01,0.01,0.01,7786128
7-Mar-16,0.01,0.01,0.01,0.01,8590750
4-Mar-16,0.01,0.01,0.01,0.01,13747322
3-Mar-16,0.01,0.01,0.01,0.01,14774633
2-Mar-16,0.01,0.01,0.01,0.01,5941875
1-Mar-16,0.01,0.01,0.01,0.01,12978138
29-Feb-16,0.01,0.01,0.01,0.01,8305620
26-Feb-16,0.01,0.01,0.01,0.01,8031714
25-Feb-16,0.01,0.01,0.01,0.01,8171319
24-Feb-16,0.01,0.01,0.01,0.01,13041593
23-Feb-16,0.01,0.01,0.01,0.01,12261894
22-Feb-16,0.01,0.01,0.01,0.01,11425005
19-Feb-16,0.01,0.01,0.01,0.01,8137478
18-Feb-16,0.01,0.01,0.01,0.01,11013818
17-Feb-16,0.01,0.01,0.01,0.01,4359305
16-Feb-16,0.01,0.01,0.01,0.01,2152467
12-Feb-16,0.01,0.01,0.01,0.01,4814528
11-Feb-16,0.01,0.01,0.01,0.01,4831822
10-Feb-16,0.01,0.01,0.01,0.01,3129735
9-Feb-16,0.01,0.01,0.01,0.01,4808191
8-Feb-16,0.01,0.01,0.01,0.01,2716938
5-Feb-16,0.01,0.02,0.01,0.01,7356021
4-Feb-16,0.02,0.02,0.01,0.01,5444910
3-Feb-16,0.01,0.02,0.01,0.01,23899841
2-Feb-16,0.01,0.01,0.01,0.01,8095634
1-Feb-16,0.01,0.01,0.01,0.01,5511285
29-Jan-16,0.01,0.01,0.01,0.01,6220282
28-Jan-16,0.01,0.01,0.01,0.01,11100524
27-Jan-16,0.01,0.01,0.01,0.01,2374369
26-Jan-16,0.01,0.01,0.01,0.01,4543443
25-Jan-16,0.01,0.01,0.01,0.01,7049763
22-Jan-16,0.01,0.01,0.01,0.01,6059993
21-Jan-16,0.01,0.01,0.01,0.01,6718644
20-Jan-16,0.01,0.01,0.01,0.01,5633892
19-Jan-16,0.01,0.01,0.01,0.01,12416629
15-Jan-16,0.01,0.01,0.01,0.01,9172468
14-Jan-16,0.01,0.01,0.01,0.01,10711601
13-Jan-16,0.01,0.01,0.01,0.01,5430237
12-Jan-16,0.01,0.01,0.01,0.01,12668995
11-Jan-16,0.01,0.01,0.01,0.01,16179043
8-Jan-16,0.01,0.01,0.01,0.01,4771655
7-Jan-16,0.01,0.01,0.01,0.01,10849613
6-Jan-16,0.02,0.02,0.01,0.01,4267661
5-Jan-16,0.02,0.02,0.01,0.01,4389302
4-Jan-16,0.02,0.02,0.01,0.02,4389990
31-Dec-15,0.01,0.02,0.01,0.02,3508476
30-Dec-15,0.02,0.02,0.01,0.02,14292129
29-Dec-15,0.02,0.02,0.02,0.02,4799385
